SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
2	ATL	BNA	0.164
6	TUS	ORD	0.849
7	ORD	AZO	0.134
8	AZO	ORD	0.134
9	ORD	TUS	0.849
11	TUS	PHX	0.13
12	PHX	SNA	0.204
13	SNA	PHX	0.204
14	LAS	TUS	0.213
16	SNA	LAS	0.168
17	LAS	TUS	0.213
19	TUS	PHX	0.13
20	PHX	TPA	1.1
21	TPA	PHX	1.1
22	PHX	TUS	0.13
24	CAK	PHL	0.205
25	PHL	DFW	0.721
26	DFW	SAN	0.625
28	TUS	LAS	0.213
29	LAS	SNA	0.168
31	TUS	LAS	0.213
32	LAS	TUS	0.213
60	ORF	CLE	0.236
61	CLE	IAH	0.543
62	IAH	TUS	0.404
64	TUS	PHX	0.13
65	PHX	DFW	0.384
66	DFW	ATL	0.329
67	ATL	ALB	0.374
68	ALB	ORD	0.33
69	ORD	TUS	0.849
71	PHL	DFW	0.721
72	DFW	TUS	0.366
74	DFW	ATL	0.329
75	ATL	AGS	0.141
76	AGS	ATL	0.141
77	ATL	LAX	1.2
79	MSP	LAX	0.936
87	TUS	LAS	0.213
88	LAS	TUS	0.213
90	TUS	ABQ	0.199
91	ABQ	TUS	0.199
93	SDF	ATL	0.199
94	ATL	TUS	0.939
96	TUS	PHX	0.13
97	PHX	PDX	0.47
99	TUS	PHX	0.13
100	PHX	PDX	0.47
102	CAK	PHL	0.205
103	PHL	DFW	0.721
104	DFW	TUS	0.366
106	CLL	DFW	0.144
107	DFW	ORD	0.357
109	LAX	TUS	0.241
117	TUS	DEN	0.299
118	DEN	TUS	0.299
120	LAS	MSP	0.727
138	LAS	TUS	0.213
140	IAH	MEM	0.247
141	MEM	IAH	0.247
142	IAH	LAS	0.658
143	TUS	IAH	0.404
145	ATL	IAH	0.319
146	IAH	CLL	0.118
147	CLL	IAH	0.118
148	IAH	TUS	0.404
150	TUS	PHX	0.13
151	PHX	MCI	0.499
152	MCI	PHX	0.499
153	PHX	TUS	0.13
155	ORD	TUS	0.849
159	ONT	LAS	0.158
160	LAS	TUS	0.213
162	TUS	PHX	0.13
163	PHX	IAH	0.47
164	IAH	PHX	0.47
165	PHX	TUS	0.13
167	TUS	LAX	0.241
168	LAX	TUS	0.241
170	TUS	SAN	0.213
172	TUS	LAX	0.241
173	LAX	TUS	0.241
175	TUS	LAS	0.213
176	LAS	TUS	0.213
178	TUS	SEA	0.653
179	PDX	PHX	0.47
180	PHX	TUS	0.13
200	TUS	LAX	0.241
201	LAX	TUS	0.241
203	ATL	IAH	0.319
204	IAH	CLL	0.118
205	CLL	IAH	0.118
206	IAH	TUS	0.404
210	TUS	LAS	0.213
211	LAS	PHX	0.177
212	PHX	LAX	0.214
213	LAX	TUS	0.241
225	ORD	TUS	0.849
226	TUS	DFW	0.366
227	DFW	DTW	0.446
228	DTW	ORD	0.17
