SORT	ORIG	DEST	Distance
2	ATL	BNA	214
6	TUS	ORD	1437
7	ORD	AZO	123
8	AZO	ORD	123
9	ORD	TUS	1437
11	TUS	PHX	111
12	PHX	SNA	339
13	SNA	PHX	339
14	LAS	TUS	365
16	SNA	LAS	227
17	LAS	TUS	365
19	TUS	PHX	111
20	PHX	TPA	1789
21	TPA	PHX	1789
22	PHX	TUS	111
24	CAK	PHL	335
25	PHL	DFW	1303
26	DFW	SAN	1171
28	TUS	LAS	365
29	LAS	SNA	227
31	TUS	LAS	365
32	LAS	TUS	365
60	ORF	CLE	435
61	CLE	IAH	1091
62	IAH	TUS	936
64	TUS	PHX	111
65	PHX	DFW	868
66	DFW	ATL	732
67	ATL	ALB	853
68	ALB	ORD	724
69	ORD	TUS	1437
71	PHL	DFW	1303
72	DFW	TUS	814
74	DFW	ATL	732
75	ATL	AGS	144
76	AGS	ATL	144
77	ATL	LAX	1947
79	MSP	LAX	1536
87	TUS	LAS	365
88	LAS	TUS	365
90	TUS	ABQ	321
91	ABQ	TUS	321
93	SDF	ATL	322
94	ATL	TUS	1542
96	TUS	PHX	111
97	PHX	PDX	1010
99	TUS	PHX	111
100	PHX	PDX	1010
102	CAK	PHL	335
103	PHL	DFW	1303
104	DFW	TUS	814
106	CLL	DFW	164
107	DFW	ORD	802
109	LAX	TUS	452
117	TUS	DEN	639
118	DEN	TUS	639
120	LAS	MSP	1300
138	LAS	TUS	365
140	IAH	MEM	469
141	MEM	IAH	469
142	IAH	LAS	1222
143	TUS	IAH	936
145	ATL	IAH	690
146	IAH	CLL	74
147	CLL	IAH	74
148	IAH	TUS	936
150	TUS	PHX	111
151	PHX	MCI	1044
152	MCI	PHX	1044
153	PHX	TUS	111
155	ORD	TUS	1437
159	ONT	LAS	197
160	LAS	TUS	365
162	TUS	PHX	111
163	PHX	IAH	1009
164	IAH	PHX	1009
165	PHX	TUS	111
167	TUS	LAX	452
168	LAX	TUS	452
170	TUS	SAN	368
172	TUS	LAX	452
173	LAX	TUS	452
175	TUS	LAS	365
176	LAS	TUS	365
178	TUS	SEA	1216
179	PDX	PHX	1010
180	PHX	TUS	111
200	TUS	LAX	452
201	LAX	TUS	452
203	ATL	IAH	690
204	IAH	CLL	74
205	CLL	IAH	74
206	IAH	TUS	936
210	TUS	LAS	365
211	LAS	PHX	256
212	PHX	LAX	371
213	LAX	TUS	452
225	ORD	TUS	1437
226	TUS	DFW	814
227	DFW	DTW	987
228	DTW	ORD	235
230	RIC	ATL	481
231	ATL	TUS	1542
232	TUS	ATL	1542
233	ATL	RIC	481
251	DSM	IAH	802
252	IAH	TUS	936
253	TUS	IAH	936
254	IAH	DSM	802
256	TUS	SFO	752
257	SFO	TUS	752
259	LAS	DEN	629
260	DEN	MSY	1062
261	MSY	IAH	305
262	IAH	TUS	936
264	SNA	PHX	339
265	PHX	TUS	111
266	TUS	PHX	111
267	PHX	SNA	339
269	TUS	PHX	111
270	PHX	SNA	339
272	TUS	DFW	814
273	DFW	CAE	922
274	CAE	DFW	922
275	DFW	TUS	814
301	TUS	DEN	639
302	DEN	LNK	424
303	LNK	DEN	424
304	DEN	PHX	602
306	SAN	TUS	368
308	PHX	LAS	256
309	LAS	TUS	365
311	PHX	LAS	256
312	LAS	PHX	256
313	PHX	SNA	339
314	SNA	LAS	227
316	TUS	LAS	365
317	LAS	TUS	365
318	TUS	LAS	365
319	LAS	LAX	237
321	LAS	TUS	365
323	TUS	LAX	452
325	LAX	TUS	452
327	LAS	DEN	629
328	DEN	MSY	1062
329	MSY	IAH	305
330	IAH	TUS	936
332	TUS	LAS	365
333	LAS	SNA	227
338	ATL	DFW	732
339	DFW	TUS	814
340	TUS	DFW	814
341	DFW	ATL	732
343	MCO	DFW	985
344	DFW	TUS	814
354	LAX	MCI	1364
356	CLL	IAH	74
357	IAH	TUS	936
359	LNK	DEN	424
360	DEN	PHX	602
362	MCI	PHX	1044
363	PHX	TUS	111
365	BDL	CLT	644
366	CLT	TUS	1735
372	SAT	TUS	763
373	TUS	SAT	763
385	BUR	PHX	369
387	LAS	PHX	256
388	PHX	LAX	371
389	LAX	TUS	452
391	TUS	LAX	452
392	LAX	TUS	452
396	TUS	SFO	752
397	SFO	PHX	651
398	PHX	TUS	111
400	DFW	TUS	814
401	TUS	DFW	814
403	TUS	ATL	1542
404	ATL	DAY	433
405	DAY	ATL	433
406	ATL	TUS	1542
408	LGA	IAH	1417
409	IAH	TUS	936
413	TUS	LAX	452
414	LAX	TUS	452
416	MDW	TUS	1440
417	TUS	MDW	1440
419	ALB	MDW	718
420	MDW	TUS	1440
421	TUS	MDW	1440
422	MDW	ALB	718
424	ALB	MDW	718
425	MDW	TUS	1440
426	TUS	MDW	1440
427	MDW	ALB	718
429	TUS	MDW	1440
430	MDW	ALB	718
432	PHX	LAX	371
433	LAX	TUS	452
455	TUS	ORD	1437
456	ORD	YUL	748
457	YUL	ORD	748
458	ORD	TUS	1437
462	FLR	CDG	548
463	CDG	ATL	4395
464	ATL	TUS	1542
466	TUS	DFW	814
467	DFW	IAD	1172
468	IAD	DFW	1172
469	DFW	TUS	814
473	TUS	PHX	111
474	PHX	YVR	1231
475	YVR	PHX	1231
476	PHX	TUS	111
480	NCL	LHR	252
481	LHR	NCL	252
482	LHR	DEN	4671
483	DEN	TUS	639
484	TUS	DEN	639
485	DEN	LHR	4671
491	TUS	MTY	788
492	MTY	DFW	525
493	DFW	TUS	814
495	TUS	IAH	936
496	IAH	MTY	411
497	MTY	HMO	710
498	HMO	TUS	209
506	TUS	DFW	814
507	DFW	LRD	397
509	DFW	LRD	397
510	LRD	DFW	397
511	DFW	TUS	814
512	TUS	DFW	814
514	TUS	DFW	814
515	DFW	LRD	397
516	LRD	DFW	397
517	DFW	TUS	814
519	TUS	IAH	936
520	IAH	TUS	936
524	TUS	ATL	1542
525	ATL	CDG	4395
526	CDG	CAI	1997
527	CAI	CDG	1997
528	CDG	SEA	5017
529	SEA	TUS	1216
531	BUR	LAS	224
532	LAS	TUS	365
536	TUS	DEN	639
537	DEN	MUC	5226
538	MUC	WAW	485
539	WAW	MUC	485
540	MUC	DEN	5226
541	DEN	TUS	639
543	TUS	SAN	368
544	SAN	TUS	368
546	TUS	SAN	368
547	SAN	TUS	368
549	TUS	SAN	368
550	SAN	TUS	368
552	TUS	PHX	111
553	PHX	SAN	305
554	SAN	PHX	305
555	PHX	TUS	111
557	TUS	ATL	1542
558	ATL	ZRH	4691
559	ZRH	ATL	4691
560	ATL	TUS	1542
562	LGA	DFW	1389
563	DFW	SAN	1171
564	SAN	DFW	1171
565	DFW	LGA	1389
567	SFO	BOS	2705
568	BOS	SFO	2705
570	TUS	DFW	814
571	DFW	PHL	1303
572	PHL	DFW	1303
573	DFW	TUS	814
577	TUS	DFW	814
578	DFW	CLT	936
579	CLT	DFW	936
580	DFW	TUS	814
582	TUS	CLT	1735
583	CLT	TUS	1735
587	TUS	LAS	365
588	LAS	TUS	365
590	SEA	LAX	954
591	LAX	TUS	452
592	TUS	SEA	1216
596	TUS	LAS	365
597	LAS	TUS	365
601	CDG	IAH	5027
